company_id,year,opm,net_profit_margin,roe,debt_to_equity,operating_cashflow_ratio
ABB,Dec 2012,12.220205686630369,8.771929824561402,22.411128284389488,0.0,0.06110102843315184
ABB,Mar 2014,11.731107205623902,8.699472759226714,25.12690355329949,0.0,0.06810193321616871
ABB,Mar 2014,11.731107205623902,8.699472759226714,25.12690355329949,0.0,0.0
ABB,Mar 2015,13.630406290956751,10.004368719965049,24.439701173959445,0.0,0.09392747924858016
ABB,Mar 2015,13.630406290956751,10.004368719965049,24.439701173959445,0.0,-0.01529051987767584
ABB,Mar 2016,13.963274674827849,9.755164498852334,21.338912133891213,0.0,0.09525631216526396
ABB,Mar 2016,13.963274674827849,9.755164498852334,21.338912133891213,0.0,0.5906656465187452
ABB,Mar 2017,13.709955218739237,9.541853255253187,19.971160778658977,0.0,0.10575266965208405
ABB,Mar 2017,13.709955218739237,9.541853255253187,19.971160778658977,0.0,0.754047537030658
ABB,Mar 2018,15.918738629472406,12.15888417222559,23.685764914353218,0.0,0.04639175257731959
ABB,Mar 2018,15.918738629472406,12.15888417222559,23.685764914353218,0.0,0.6664645239539114
ABB,Mar 2019,16.444686055993476,12.231584669747214,22.410358565737052,0.0,0.13563468333786355
ABB,Mar 2019,16.444686055993476,12.231584669747214,22.410358565737052,0.0,0.7042674639847785
ABB,Mar 2020,18.49499144881505,14.488150500855118,24.39325380501851,0.07198683669271905,0.15294405081847057
ABB,Mar 2020,18.49499144881505,14.488150500855118,24.39325380501851,0.07198683669271905,1.3283655020767164
ABB,Mar 2021,21.392111368909514,16.03248259860789,26.5564950038432,0.058800922367409685,0.16867749419953595
ABB,Mar 2021,21.392111368909514,16.03248259860789,26.5564950038432,0.058800922367409685,0.8779582366589327
ABB,Mar 2022,22.023203745165887,16.26297577854671,28.333333333333332,0.05390070921985816,0.1929574598005292
ABB,Mar 2022,22.023203745165887,16.26297577854671,28.333333333333332,0.05390070921985816,0.8339100346020761
ABB,Mar 2023,22.546270330902974,17.74163395027108,29.767879548306148,0.03544542032622334,0.16694709291456347
ABB,Mar 2023,22.546270330902974,17.74163395027108,29.767879548306148,0.03544542032622334,0.7061132922041503
ABB,Mar 2024,24.84185330825782,20.533424517011454,32.46823465801568,0.022438496891051634,0.2073858779278509
ABB,Mar 2024,24.84185330825782,20.533424517011454,32.46823465801568,0.022438496891051634,1.0323132159343478
ADANIENSOL,Mar 2018,71.65314401622717,28.98073022312373,18.87072808320951,1.7216443784051512,0.5573022312373225
ADANIGREEN,Mar 2022,68.42002727449834,9.526592635885448,18.706962509563887,20.211170619739864,0.6091954022988506
ADANIPORTS,Mar 2013,66.59211629857423,45.820519988817445,25.633406318423525,1.817328745699093,0.38551859099804303
ADANIPORTS,Mar 2014,60.43478260869565,36.04554865424431,19.86309184255562,1.4807758128921849,0.23436853002070393
